cpu_num,prefit_status,prefit_cpuTime,mufit_status,mufit_cpuTime,finalfit_status,finalfit_cpuTime,iterfit_cpuTime,iterfit_num,iterfit_num_success,mu,mu_err,lambda,lambda_err,alpha,alpha_err,mean,stderr,enf_GP,enf_GP_err,enf_data,enf_data_err,res_data,res_GP,res_GP_err,ped,ped_err,gain,ap_gain,ap_gain_err,rob_gain,rob_gain_err,gain_err,chi2,charge_fit_ndf,n_peaks_tofit,lower_edge,upper_edge,nbins,fd_bin_width,bin_width,sigmaAp,sigmaAp_err,sigma0,sigma0_err,sigmak,sigmak_err,n_peaks,events,run,vol,ch,pos,bl_rms,bl,vbd,ov,vbd_err,fit_gain,fit_gain_err,prefit_gain,prefit_gain_err,slope,slope_err,linear_chi2,ndf,rob_vbd,rob_vbd_err,vol_missing,fit_failure,large_chi2,params_missing,rate,dcr,dcr_err,dcr_cmf,dcr_norm_factor,charge_dcr,charge_dcr_err,robust_dcr,robust_dcr_err,match_x,match_y,match_x_err_down,match_x_err_up,match_y_err_up,match_y_err_down,ref_mu,ref_mu_err,temp,current,batch,box,tsn
56,0,20.257622480392456,4,3.877870559692383,0,16.47361183166504,18.23365797996521,25,25,1.0816576202296468,0.0074815295251568,0.3750589481879534,0.0044104831441101,0.0265827684380192,0.0021427667523132,94.73007639331544,110.06089371880564,1.600150921595648,0.0112929669882729,1.4600916228998246,0.0100990538797664,1.1618368517073423,1.2162856024265916,0.0060095015201221,3726.6313879337217,0.046813331066005,47.31693321723252,15.429404737641647,0.4434592899289651,54.73147183755352,0.5408414973425637,0.0302850306871427,1.6584461803242951,131.0,11.0,3701.677743938552,4305.911521749279,138.8267031454407,4.441257088362619,2.220628544181307,0.0,0.0,5.174976790653097,0.0349288012868282,1.936905901412308,0.0349288012868282,6,25683,406,6,1,0,5.0,3718.97153845768,46.39952959797861,7.600470402021386,0.0085414886671469,47.32405843855352,0.0865250016851326,47.31693321723252,0.0302850306871427,6.226464407514492,0.008979758115638,0.0089464624063989,4,47.779924995041696,0.0511661767901162,0,0,0,0,65.0225,99.063,2.1263,0.656376,1.52352,2309.88,218.52,114.218,58.8729,0.0,0.0,4.75,5.75,4.75,5.25,0.9338408915139932,0.0114207785967374,-49.187,2.731412e-08,1,101,1462
24,0,8.37096095085144,4,3.003159523010254,0,6.849948883056641,9.944069051742554,25,25,0.9906183287903024,0.0066760852833327,0.1979000052858538,0.0046660953725535,0.0061208038549908,0.0032450067894182,44.41261537990528,40.56070876485209,1.2467273489465387,0.0072526477397978,0.8262371768918757,0.0055682695311383,0.913269989121244,1.121844243149123,0.0049937779310428,3722.274800303171,0.038284932399847,28.699324763110614,9.30964597427758,1.8190029977630704,35.96073030968953,0.3201512197461811,0.030564243863461,0.8974238172067638,140.0,7.0,3700.1115464716113,3949.980602169684,147.57556413954484,1.8403914039251184,0.920195701962557,0.0,0.0,4.464436942909908,0.0274790788935801,0.7991800494769395,0.0274790788935801,5,26492,406,3,1,0,8.531534061000327,3713.581687735205,46.39952959797861,4.6004704020213865,0.0085414886671469,28.644665216010047,0.0673429186001604,28.699324763110614,0.030564243863461,6.226464407514492,0.008979758115638,0.0089464624063989,4,47.779924995041696,0.0511661767901162,0,0,0,0,33.1639,56.2315,1.66478,0.589774,1.69556,5085.12,553.003,62.8778,36.0342,0.0,0.0,4.75,5.75,4.75,5.25,0.9338408915139932,0.0114207785967374,-49.062,4.959772e-09,1,101,1462
56,0,8.747804641723633,4,1.6303839683532717,0,5.114478588104248,7.129722182567303,26,26,1.0859344190576516,0.0068165403805745,0.1364076353306847,0.0051054995288371,0.0040976888037771,0.0039641156228822,21.89737844015234,29.124090056687177,1.15795373015244,0.0068457439708517,1.920985473944196,0.0120582558429273,1.3300263379146566,1.032627778684386,0.0044520862257968,3724.3578143075615,0.0431743074068435,22.06068308345809,10.499999173338772,2.1765510404354025,17.41395105940196,0.150157517062032,0.0268068234524889,0.9942990006058436,145.0,7.0,3701.983478457138,3904.3220275765134,152.51744822251047,1.3819358011540692,0.6633291845539534,0.0,0.0,4.490422672924458,0.0308132496060089,0.7644070512429626,0.0308132496060089,5,26709,406,2,9,0,14.847297763070216,3730.309244750933,46.40905778260974,3.590942217390257,0.0119478288365801,22.067889860377484,0.0858208291680735,22.06068308345809,0.0268068234524889,6.145431623351344,0.0123728694876264,0.0110263419434742,4,47.21231537025832,0.0590835481762723,0,0,0,0,28.1671,49.9632,1.6751,0.563757,1.77382,-4403.24,564.024,56.3475,34.2755,0.0,0.0,4.75,5.75,4.75,5.25,1.093419960682009,0.0305196267005186,-49.062,2.773694e-09,1,101,1462
56,0,11.808417797088625,4,3.397688627243042,0,14.381373405456545,17.76404315691728,26,26,1.262437131011637,0.0081271551185337,0.3799136676412352,0.0041104845747925,0.0218859360518165,0.0017773370157129,105.39273817515844,115.46659594048992,1.6126786671721505,0.0106902707568029,1.5153086730111625,0.0097550589534329,1.0955839836762673,1.1302357514817112,0.0052219400164263,3723.981548992416,0.0427796709348058,46.605239129703776,14.772437411792229,0.4203030316518772,51.76701070247527,0.4783501572369077,0.0252664436253589,1.5472722404657406,137.0,12.0,3702.295749797997,4338.967700069175,144.66893356621333,4.584259604675975,2.200444610244469,0.0,0.0,4.4806604658494855,0.0319292778062099,2.012361998654649,0.0319292778062099,7,26018,406,6,9,0,5.0,3718.193009552362,46.40905778260974,7.590942217390257,0.0119478288365801,46.64961635378286,0.1192160203790841,46.605239129703776,0.0252664436253589,6.145431623351344,0.0123728694876264,0.0110263419434742,4,47.21231537025832,0.0590835481762723,0,0,0,0,69.8181,106.1,2.1818,0.65804,1.51966,1784.28,168.797,118.974,69.1913,0.0,0.0,4.75,5.75,4.75,5.25,1.093419960682009,0.0305196267005186,-49.187,3.414892e-08,1,101,1462
56,0,6.962731838226318,0,2.1741063594818115,0,8.088677406311035,7.892310738563538,26,25,0.9244376793436556,0.0064583575337568,0.0826669663409067,0.0179959215745073,5.1696980313264974e-08,0.0485364441246015,22.64405317099972,17.995882743665618,1.0901166351888163,0.0213855303952939,0.5838692672817449,0.0040790596979511,0.7947288680064122,1.085919580768595,0.0113068699241413,3724.7214833278167,0.0995677651224014,15.874100658562972,5.913925208083525,4.042836450261026,22.470025242198112,0.4679271966454163,0.0763879234390501,1.0805047386297335,162.0,5.0,3701.2557564473386,3827.6061145103818,169.30178974988627,0.8292250598420439,0.3980280287241817,0.0,0.0,4.680974746576728,0.0562765581201851,0.010083655197097,0.0562765581201851,4,25399,406,1,9,0,7.81714233875288,3718.0795596865496,46.40905778260974,2.590942217390257,0.0119478288365801,15.922458237026138,0.0801176822986174,15.874100658562972,0.0763879234390501,6.145431623351344,0.0123728694876264,0.0110263419434742,4,47.21231537025832,0.0590835481762723,0,0,0,0,19.4408,36.0234,1.69436,0.539671,1.85298,7693.01,1345.41,50.166,186.531,0.0,0.0,4.75,5.75,4.75,5.25,1.093419960682009,0.0305196267005186,-49.062,5.434277e-10,1,101,1462
56,0,13.6347758769989,4,3.4018497467041016,0,15.542723655700684,17.680854751513554,26,26,1.254407765914823,0.0078364101111263,0.3159354529449509,0.0042344891534941,0.0181844867725403,0.0020381806866859,75.74349201173021,84.46188680424729,1.4618503536034393,0.0090491306602785,1.559802617420409,0.0097442421313458,1.1151042097605808,1.079523476839294,0.0047469796385411,3725.512751914051,0.0422260982718398,40.49033101404829,12.561289362468376,0.4976913223805548,41.30509947663239,0.3632611432547433,0.0253085429828843,1.285858586848757,137.0,10.0,3702.9672246168175,4173.483499574875,144.99850772097292,3.7732246781358616,1.8111478455052168,0.0,0.0,4.595188894365079,0.0314440771140875,1.544328715868081,0.0314440771140875,6,26872,406,5,9,0,19.99999186148922,3726.394062005956,46.40905778260974,6.590942217390257,0.0119478288365801,40.50418473043152,0.1097332429939535,40.49033101404829,0.0253085429828843,6.145431623351344,0.0123728694876264,0.0110263419434742,4,47.21231537025832,0.0590835481762723,0,0,0,0,61.8378,97.314,2.0964,0.635447,1.5737,-46.7191,4.25608,106.738,62.0598,0.0,0.0,4.75,5.75,4.75,5.25,1.093419960682009,0.0305196267005186,-49.187,1.949845e-08,1,101,1462
56,0,9.176690101623535,4,2.614487648010254,0,10.554060459136965,12.632024654975304,26,25,1.2214951179352145,0.0077565322768552,0.2605807389906568,0.004232162838776,0.0082451664720569,0.0017032971881452,67.69525232552377,61.24679432996364,1.352412701063469,0.0077407109578352,0.9998665463493788,0.0063491839021153,0.9047428324138352,1.0522253308352445,0.004497658595761,3727.319482904984,0.0424847224289806,34.415670278238025,12.634648149059696,1.090507699894915,40.97861114090399,0.3503200260232016,0.0256779758551886,1.0376863415240327,152.0,9.0,3704.739468972478,4071.190106082645,159.6926455736005,2.494265834670365,1.1972476006417772,0.0,0.0,4.576862828721652,0.0313169065257432,1.2901988709809846,0.0313169065257432,6,25543,406,4,9,0,10.139633291233368,3717.175510946253,46.40905778260974,5.590942217390257,0.0119478288365801,34.35875310708017,0.1008785681878444,34.415670278238025,0.0256779758551886,6.145431623351344,0.0123728694876264,0.0110263419434742,4,47.21231537025832,0.0590835481762723,0,0,0,0,47.0775,76.5864,1.9361,0.614698,1.62682,4562.7,444.063,85.2592,49.9188,0.0,0.0,4.75,5.75,4.75,5.25,1.093419960682009,0.0305196267005186,-49.187,1.249558e-08,1,101,1462
64,0,9.247288465499878,4,1.66955828666687,0,9.091384887695312,10.282242393493652,25,24,1.188789215587008,0.0074060024919265,0.1970364147889395,0.0042703741902887,0.0010765951168109,0.0016486675714921,48.80772717056936,43.06898596183748,1.2453864887747657,0.0066232970168879,0.9256716887033766,0.0057668144557131,0.8824214618993304,1.0235278083581645,0.0041919443019276,3726.106148951793,0.0420448034344644,28.270199608415584,13.99998760844402,9.39615442082198,32.967011376808095,0.2700383406568594,0.0228267845293839,0.9325215648778192,153.0,8.0,3703.7112193936855,3981.194494911376,160.54971408269031,1.8786221932612448,0.9393110966306216,0.0,0.0,4.512537296089769,0.0307375071197797,1.2310948440650915,0.0307375071197797,6,25850,406,3,9,0,15.4602812441702,3719.167462475222,46.40905778260974,4.590942217390257,0.0119478288365801,28.213321483728823,0.092831903029103,28.270199608415584,0.0228267845293839,6.145431623351344,0.0123728694876264,0.0110263419434742,4,47.21231537025832,0.0590835481762723,0,0,0,0,35.4703,60.1783,1.7414,0.58942,1.69658,4147.49,451.037,66.8023,42.8989,0.0,0.0,4.75,5.75,4.75,5.25,1.093419960682009,0.0305196267005186,-49.187,5.052027e-09,1,101,1462
56,0,8.031157732009888,4,2.480005979537964,0,11.275012016296388,12.789030599594115,25,25,1.2993863510720254,0.0076506865629234,0.1903878658046467,0.0040216426264174,0.0081957872811104,0.0021528868310299,54.45737755330426,45.50158046772871,1.2351593531807263,0.0061354929050152,0.9071473098105544,0.0053412133566232,0.8355448336304958,0.9749724533507454,0.0037553021423277,3727.017224499068,0.039000289872547,28.51737979412833,10.515621524015703,1.1356885638258705,33.93090409733641,0.2613833783917257,0.025065343977328,0.8947674149006335,138.0,8.0,3706.237639344819,3982.833532546484,145.88546855808545,1.9346732072650648,0.96733660363253,0.0,0.0,4.1948671439188345,0.0283282729923346,0.8980839206879618,0.0283282729923346,6,26697,406,3,10,0,19.70046919590056,3718.799652438345,46.46307045725464,4.536929542745362,0.0056768490468336,28.46209102401407,0.0455839641051099,28.51737979412833,0.025065343977328,6.273425839183574,0.0062714919426742,0.0330624518430217,4,47.63319400444748,0.0491247782649483,0,0,0,0,33.5286,57.1496,1.67175,0.586681,1.7045,4862.14,528.754,63.8726,39.3374,0.0,0.0,4.75,5.75,4.75,5.25,1.2147599233719448,0.0322854362701414,-49.125,5.977252e-09,1,101,1462
56,0,10.761784553527832,4,1.759263038635254,0,5.716491460800171,14.885202236175536,25,16,1.1944992599982427,0.0072600569249323,0.1313702002422828,0.0038644916128413,1.3600270529934288e-06,0.1846778602390677,21.76855456662751,30.56280515434671,1.1512384220284928,0.0051218035894586,2.354578232782896,0.0143109105017239,1.4039887242307445,0.9817246488125252,0.0036972764274397,3727.547893069956,0.0436559072973068,22.25692964338922,1.3864963214224852,1.5082983880875378,15.829909508903684,0.1192341484887186,0.0236537423975775,1.2045603431146972,137.0,7.0,3705.266518266252,3906.425914529653,144.08219981624185,1.424636008656749,0.7123180043283731,0.0,0.0,4.468972231006008,0.0299088027349614,0.3989567201556798,0.0299088027349614,5,25896,406,2,10,0,6.980874807715336,3736.507802245954,46.46307045725464,3.536929542745362,0.0056768490468336,22.18866518483049,0.0419564047221227,22.25692964338922,0.0236537423975775,6.273425839183574,0.0062714919426742,0.0330624518430217,4,47.63319400444748,0.0491247782649483,0,0,0,0,24.9012,44.3434,1.5534,0.561553,1.78077,-6816.95,873.203,51.9612,29.9349,0.0,0.0,4.75,5.75,4.75,5.25,1.2147599233719448,0.0322854362701414,-49.187,3.081778e-09,1,101,1462
